// filepath: /Users/sydg/VSCode/FFDSR/实验结果csv/处理后/single_scale_avg_Loss_Train.csv
Step,Value,Wall time
0,0.13049356639385223,1742938339.3618426
1,0.09268628358840938,1742938571.7584388
2,0.07999017983675001,1742938803.510929
3,0.07424441576004023,1742939035.262926
4,0.07008331865072245,1742939267.262689
5,0.067962197959423,1742939498.331983
6,0.06588953807950015,1742939730.3215246
7,0.06220455989241595,1742939961.5222168
8,0.05945348069071767,1742940192.978132
9,0.056296111643314314,1742940424.3866632
10,0.05342895612120624,1742940655.494042
11,0.053130908310413304,1742940886.8458948
12,0.051262322813272435,1742941118.3140657
13,0.04955708608031269,1742941349.0876124
14,0.049880574643611855,1742941579.9450853
15,0.04849240258336062,1742941811.7406192
16,0.047928919643163634,1742942042.6795187
17,0.04716963246464726,1742942273.4825222
18,0.0458721429109573,1742942504.327304
19,0.0451477654278278,1742942735.1229482
20,0.04478961825370784,1742942967.0087314
21,0.043964143097400606,1742943197.9548006
22,0.04299024045467372,1742943428.8142571
23,0.042971685528755146,1742943659.2120771
24,0.0422392182052135,1742943890.6710804
25,0.041272324323654117,1742944121.29801
26,0.04109109044075006,1742944352.2016437
27,0.040427645295858315,1742944582.778125
28,0.03987192362546916,1742944813.9073389
29,0.03936148434877392,1742945044.8537874
30,0.03825272843241688,1742945276.318109
31,0.03750402256846422,1742945507.2125292
32,0.03757779300212853,1742945738.263477
33,0.03709971681237216,1742945971.1459749
34,0.03720651417970652,1742946201.3681576
35,0.036169076710939364,1742946433.8410935
36,0.03584756031632418,1742946665.1844273
37,0.0352660253643989,1742946896.3618455
38,0.0353734046220779,1742947127.5009458
39,0.03479447290301318,1742947359.0615244
40,0.03493192642927161,1742947590.3721044
41,0.034281200170516925,1742947821.3364072
42,0.034058920294046356,1742948052.509186
43,0.033690910041332206,1742948284.0196342
44,0.03333315402269359,1742948514.688281
45,0.03318303897976872,1742948744.9086535
46,0.03315926268696782,1742948976.070495
47,0.03276817128062244,1742949207.2362485
48,0.03253388181328772,1742949437.7322874
49,0.0324038907885551,1742949669.302531
50,0.032226664572954124,1742949900.2385085
51,0.0321376338601112,1742950131.2368145
52,0.03166130706667895,1742950362.238826
53,0.03179554045200342,1742950593.6510456
54,0.0317980125546455,1742950825.3988502
55,0.03130881711840628,1742951056.4209116
56,0.03123456127941606,1742951288.0328343
57,0.031200370565056777,1742951519.128702
58,0.031081333756446776,1742951749.5193624
59,0.031018500402569697,1742951980.572132
60,0.03046387061476704,1742952211.3729095
61,0.0306623004376888,1742952442.4615045
62,0.030158475041389403,1742952673.5808687
63,0.03023212067782874,1742952904.4690368
64,0.03037943691015238,1742953135.1791422
65,0.02982231080532068,1742953365.7825818
66,0.029833733290433862,1742953596.2755132
67,0.029698094725608783,1742953827.3736372
68,0.029757698625326116,1742954058.2964284
69,0.029581568017601922,1742954289.2632968
70,0.0294529069215059,1742954520.0101702
71,0.029555673524737303,1742954750.6320112
72,0.029414746165275542,1742954981.4601953
73,0.0292001791298389,1742955212.496703
74,0.029175729304552016,1742955443.0005348
75,0.02917681932449338,1742955673.6038463
76,0.029013004526495877,1742955904.670759
77,0.02913235947489732,1742956135.8349729
78,0.028855887427925997,1742956366.9985116
79,0.02902116589248176,1742956598.1834016
80,0.028920070454478218,1742956828.8465362
81,0.02889953516423698,1742957060.0350842
82,0.028961053118109658,1742957298.6774194
83,0.028898621723055802,1742957530.5129032
84,0.02876517996191972,1742957762.0533292
85,0.02882158160209648,1742957994.285605
86,0.028717302903532936,1742958226.874958
87,0.028912926092743818,1742958458.3640928
88,0.028710275515913895,1742958690.238584
89,0.0287988562136888,1742958922.412839
90,0.02865863330662244,1742959154.0175345
91,0.028770596534013704,1742959385.8597174
92,0.0286151587963104,1742959617.1288486
93,0.0287613313645124,1742959848.3517382
94,0.0288457211107015,1742960079.9147737
95,0.02883394844830032,1742960311.8835332
96,0.028682390600442843,1742960543.1554966
97,0.028681817278265898,1742960775.0533023
98,0.028692222386598566,1742961006.4774337
99,0.028855326026678063,1742961237.751997
