// filepath: /Users/sydg/VSCode/FFDSR/实验结果csv/处理后/single_scale_avg_Learning_Rate.csv
Step,Value,Wall time
0,0.0001999999949475,1742890649.7195897
1,0.0001999999949475,1742890887.761785
2,0.0001999999949475,1742891126.658754
3,0.0001999999949475,1742891359.1739943
4,0.0001999999949475,1742891592.1563728
5,0.0001999999949475,1742891823.3946002
6,0.0001999999949475,1742892055.4903183
7,0.0001999999949475,1742892287.2622194
8,0.0001999999949475,1742892519.5170877
9,0.0001999999949475,1742892751.3016176
10,0.0001999999949475,1742892982.703035
11,0.0001999999949475,1742893213.8034756
12,0.0001999999949475,1742893445.638077
13,0.0001999999949475,1742893677.6045742
14,0.0001999999949475,1742893909.3522327
15,0.0001999999949475,1742894140.7731533
16,0.0001999999949475,1742894372.2083848
17,0.0001999999949475,1742894604.3671944
18,0.0001999999949475,1742894836.2250204
19,0.0001999999949475,1742895067.8566694
20,0.0001999999949475,1742895300.0217223
21,0.0001999999949475,1742895531.8696892
22,0.0001999999949475,1742895763.7344687
23,0.0001999999949475,1742895994.9179108
24,0.0001999999949475,1742896226.92959
25,0.0001999999949475,1742896458.8347428
26,0.0001999999949475,1742896690.22287
27,0.0001999999949475,1742896921.4389408
28,0.0001999999949475,1742897153.6425002
29,0.0001999999949475,1742897385.547338
30,0.0001999999949475,1742897616.78729
31,0.00017999999545275752,1742897848.7485876
32,0.00017999999545275752,1742898079.9546802
33,0.00017999999545275752,1742898312.1227489
34,0.00017999999545275752,1742898543.6322863
35,0.00017999999545275752,1742898774.9401648
36,0.00017999999545275752,1742899006.1396646
37,0.000159999995958015,1742899237.352535
38,0.000159999995958015,1742899468.794541
39,0.000159999995958015,1742899700.5682838
40,0.000159999995958015,1742899932.138495
41,0.00012999999671589377,1742900163.6654649
42,0.00012999999671589377,1742900395.817334
43,0.00010999999722115127,1742900627.9918969
44,0.00010999999722115127,1742900859.674672
45,0.00010999999722115127,1742901090.7469404
46,9.999999747377251e-05,1742901322.6866992
47,9.999999747377251e-05,1742901553.845688
48,9.999999747377251e-05,1742901785.5203238
49,9.999999747377251e-05,1742902017.110982
50,9.499999760008314e-05,1742902248.493745
51,9.499999760008314e-05,1742902480.354679
52,8.499999785270439e-05,1742902712.0743954
53,8.499999785270439e-05,1742902943.6950238
54,8.499999785270439e-05,1742903175.3847218
55,7.999999797901501e-05,1742903406.522821
56,7.749999804217032e-05,1742903638.456369
57,7.749999804217032e-05,1742903870.2392485
58,7.249999816848095e-05,1742904101.6753228
59,7.249999816848095e-05,1742904333.3912432
60,4.999999873689376e-05,1742904564.9388716
61,4.8749998768471414e-05,1742904796.384693
62,4.6249998831626726e-05,1742905027.728506
63,4.6249998831626726e-05,1742905259.5271368
64,4.6249998831626726e-05,1742905492.463112
65,4.5624998847415554e-05,1742905723.5439596
66,3.56249991000368e-05,1742905954.8255022
67,3.56249991000368e-05,1742906186.66598
68,3.56249991000368e-05,1742906418.3674033
69,3.406249913950887e-05,1742906649.9432583
70,3.406249913950887e-05,1742906881.7323549
71,2.7812499297397153e-05,1742907113.6559305
72,1.78124995500184e-05,1742907345.6656768
73,1.7031249569754436e-05,1742907577.5052814
74,1.7031249569754436e-05,1742907808.8953118
75,1.6406249585543264e-05,1742908041.6306589
76,1.1406249711853889e-05,1742908274.4581006
77,1.1328124713827492e-05,1742908506.1442742
78,8.828124776982804e-06,1742908738.1497278
79,8.203124792771632e-06,1742908969.8515484
80,8.203124792771632e-06,1742909202.013877
81,8.164062293758434e-06,1742909433.123538
82,6.91406232533609e-06,1742909665.0580077
83,6.757812329283297e-06,1742909896.6567557
84,4.257812392438609e-06,1742910128.182275
85,4.082031146879217e-06,1742910359.810057
86,4.082031146879217e-06,1742910591.3145645
87,4.0039061488528205e-06,1742910822.9724314
88,2.1289061962193045e-06,1742911054.5055256
89,2.0410155734396085e-06,1742911286.531752
90,2.0410155734396085e-06,1742911518.718031
91,2.0019530744264102e-06,1742911750.4878943
92,1.0644530981096523e-06,1742911982.4888215
93,1.0205077867198042e-06,1742912213.9808698
94,1.0205077867198042e-06,1742912445.8724425
95,1.0009765372132051e-06,1742912677.205465
96,5.322265490548261e-07,1742912909.2719946
97,5.102538933599021e-07,1742913140.8780377
98,5.102538933599021e-07,1742913372.526199
99,5.004882686066026e-07,1742913605.0078256
