Wall time,Step,Value
1742729763.0619154,0,0.00019999999494757503
1742730075.2839165,1,0.00019999999494757503
1742730385.3650994,2,0.00019999999494757503
1742730695.5838919,3,0.00019999999494757503
1742731005.589157,4,0.00019999999494757503
1742731315.597454,5,0.00019999999494757503
1742731625.1623275,6,0.00019999999494757503
1742731934.3509018,7,0.00019999999494757503
1742732243.7698867,8,0.00019999999494757503
1742732552.9296193,9,0.00019999999494757503
1742732863.3561683,10,0.00019999999494757503
1742733172.6016688,11,0.00019999999494757503
1742733482.2816136,12,0.00019999999494757503
1742733791.200109,13,0.00019999999494757503
1742734100.5720823,14,0.00019999999494757503
1742734410.685536,15,9.999999747378752e-05
1742734720.67796,16,9.999999747378752e-05
1742735030.6372766,17,9.999999747378752e-05
1742735340.436515,18,9.999999747378752e-05
1742735649.6747346,19,9.999999747378752e-05
1742735960.2770987,20,4.999999873689376e-05
1742736269.4800696,21,4.999999873689376e-05
1742736579.2956529,22,4.999999873689376e-05
1742736888.3043675,23,4.999999873689376e-05
1742737197.9574182,24,2.499999936844688e-05
1742737508.031418,25,2.499999936844688e-05
1742737817.9821284,26,2.499999936844688e-05
1742738127.2020376,27,2.499999936844688e-05
1742738436.3325953,28,2.499999936844688e-05
1742738745.7244556,29,1.249999968422344e-05
1742739056.369459,30,1.249999968422344e-05
1742739366.094303,31,1.249999968422344e-05
1742739675.3178813,32,1.249999968422344e-05
1742739985.3976266,33,1.249999968422344e-05
1742740294.94259,34,6.24999984211172e-06
1742740604.6412475,35,6.24999984211172e-06
1742740913.7842085,36,6.24999984211172e-06
1742741223.1111848,37,6.24999984211172e-06
1742741532.2501338,38,3.12499992105586e-06
1742741841.4309714,39,3.12499992105586e-06
1742742150.9960077,40,3.12499992105586e-06
1742742460.2595675,41,3.12499992105586e-06
1742742770.1123981,42,1.56249996052793e-06
1742743079.9059665,43,1.56249996052793e-06
1742743389.7676227,44,1.56249996052793e-06
1742743699.4187238,45,1.56249996052793e-06
1742744009.625661,46,1.56249996052793e-06
1742744319.5813687,47,1.56249996052793e-06
1742744628.8344154,48,1.56249996052793e-06
1742744938.187958,49,1.56249996052793e-06
1742745248.075876,50,7.81249980263965e-07
1742745557.9716382,51,7.81249980263965e-07
1742745868.2780254,52,7.81249980263965e-07
1742746178.5184276,53,7.81249980263965e-07
1742746487.9510477,54,7.81249980263965e-07
1742746797.8076599,55,3.906249901319825e-07
1742747107.0612476,56,3.906249901319825e-07
1742747416.2867885,57,3.906249901319825e-07
1742747726.4592927,58,3.906249901319825e-07
1742748036.2161796,59,1.9531249506599124e-07
1742748345.5617647,60,1.9531249506599124e-07
1742748655.9822521,61,1.9531249506599124e-07
1742748965.3766856,62,1.9531249506599124e-07
1742749275.7410164,63,1.9531249506599124e-07
1742749585.3020003,64,1.9531249506599124e-07
1742749895.2950017,65,1.9531249506599124e-07
1742750205.476227,66,1.9531249506599124e-07
1742750515.178914,67,9.765624753299562e-08
1742750824.770716,68,9.765624753299562e-08
1742751134.2712617,69,9.765624753299562e-08
1742751444.25757,70,9.765624753299562e-08
1742751753.841081,71,4.882812376649781e-08
1742752063.2503703,72,4.882812376649781e-08
1742752373.0565238,73,4.882812376649781e-08
1742752682.4960089,74,4.882812376649781e-08
1742752992.068212,75,2.4414061883248905e-08
1742753301.7992222,76,2.4414061883248905e-08
1742753611.860699,77,2.4414061883248905e-08
1742753922.1983309,78,2.4414061883248905e-08
1742754231.701283,79,1.2207030941624453e-08
1742754541.7188919,80,1.2207030941624453e-08
1742754851.0834613,81,1.2207030941624453e-08
1742755160.9486833,82,1.2207030941624453e-08
1742755470.1996107,83,1.2207030941624453e-08
1742755780.2406454,84,1.2207030941624453e-08
1742756089.3450723,85,1.2207030941624453e-08
1742756399.054621,86,1.2207030941624453e-08
1742756708.8526208,87,1.2207030941624453e-08
1742757019.1192636,88,1.2207030941624453e-08
1742757328.5291133,89,1.2207030941624453e-08
1742757638.6772835,90,1.2207030941624453e-08
1742757947.8442357,91,1.2207030941624453e-08
1742758257.1517656,92,1.2207030941624453e-08
1742758566.5844593,93,1.2207030941624453e-08
1742758876.0981126,94,1.2207030941624453e-08
1742759185.6728265,95,1.2207030941624453e-08
1742759494.8961632,96,1.2207030941624453e-08
1742759804.512672,97,1.2207030941624453e-08
1742760114.140853,98,1.2207030941624453e-08
1742760433.7713614,99,1.2207030941624453e-08
