Wall time,Step,Value
1742667824.0139346,0,0.00019999999494757503
1742668126.4945703,1,0.00019999999494757503
1742668428.8532052,2,0.00019999999494757503
1742668730.836407,3,0.00019999999494757503
1742669032.7766924,4,0.00019999999494757503
1742669334.9376082,5,0.00019999999494757503
1742669637.1357257,6,0.00019999999494757503
1742669938.5108874,7,0.00019999999494757503
1742670241.1427734,8,0.00019999999494757503
1742670542.870294,9,0.00019999999494757503
1742670846.1438122,10,0.00019999999494757503
1742671148.8793035,11,0.00019999999494757503
1742671450.773265,12,0.00019999999494757503
1742671753.3593981,13,0.00019999999494757503
1742672055.6438708,14,0.00019999999494757503
1742672357.1107814,15,0.00019999999494757503
1742672659.2054884,16,0.00019999999494757503
1742672961.5271573,17,0.00019999999494757503
1742673263.4464414,18,0.00019999999494757503
1742673565.6500068,19,0.00019999999494757503
1742673867.6508431,20,0.00019999999494757503
1742674170.0906575,21,0.00019999999494757503
1742674472.1887226,22,0.00019999999494757503
1742674773.774506,23,0.00019999999494757503
1742675075.6812341,24,0.00019999999494757503
1742675377.8325408,25,9.999999747378752e-05
1742675679.7456553,26,9.999999747378752e-05
1742675981.6590838,27,9.999999747378752e-05
1742676283.7483978,28,9.999999747378752e-05
1742676585.4214559,29,9.999999747378752e-05
1742676887.0321226,30,9.999999747378752e-05
1742677189.1638896,31,9.999999747378752e-05
1742677491.1648142,32,4.999999873689376e-05
1742677793.4978344,33,4.999999873689376e-05
1742678095.3708918,34,4.999999873689376e-05
1742678397.8851454,35,4.999999873689376e-05
1742678699.9751666,36,2.499999936844688e-05
1742679002.759007,37,2.499999936844688e-05
1742679303.923179,38,2.499999936844688e-05
1742679605.98748,39,2.499999936844688e-05
1742679907.7697103,40,2.499999936844688e-05
1742680209.6073408,41,2.499999936844688e-05
1742680511.1039853,42,2.499999936844688e-05
1742680813.1412735,43,1.249999968422344e-05
1742681115.3526955,44,1.249999968422344e-05
1742681417.3512995,45,1.249999968422344e-05
1742681719.0606933,46,1.249999968422344e-05
1742682020.464372,47,6.24999984211172e-06
1742682322.1864986,48,6.24999984211172e-06
1742682624.3303936,49,6.24999984211172e-06
1742682926.5593476,50,6.24999984211172e-06
1742683228.858851,51,3.12499992105586e-06
1742683531.396863,52,3.12499992105586e-06
1742683833.2697482,53,3.12499992105586e-06
1742684135.0604775,54,3.12499992105586e-06
1742684436.703248,55,1.56249996052793e-06
1742684739.601297,56,1.56249996052793e-06
1742685041.7331414,57,1.56249996052793e-06
1742685343.5476365,58,1.56249996052793e-06
1742685645.8349953,59,7.81249980263965e-07
1742685947.8601186,60,7.81249980263965e-07
1742686249.7803621,61,7.81249980263965e-07
1742686551.9273922,62,7.81249980263965e-07
1742686854.2681613,63,3.906249901319825e-07
1742687155.9805791,64,3.906249901319825e-07
1742687458.5855305,65,3.906249901319825e-07
1742687760.0768912,66,3.906249901319825e-07
1742688061.7718406,67,1.9531249506599124e-07
1742688363.4255645,68,1.9531249506599124e-07
1742688665.9029875,69,1.9531249506599124e-07
1742688968.1888812,70,1.9531249506599124e-07
1742689269.6970098,71,9.765624753299562e-08
1742689572.1178896,72,9.765624753299562e-08
1742689874.3652956,73,9.765624753299562e-08
1742690176.4537432,74,9.765624753299562e-08
1742690478.1816099,75,4.882812376649781e-08
1742690780.380121,76,4.882812376649781e-08
1742691082.5532844,77,4.882812376649781e-08
1742691384.921094,78,4.882812376649781e-08
1742691686.830167,79,2.4414061883248905e-08
1742691988.9180808,80,2.4414061883248905e-08
1742692290.7784476,81,2.4414061883248905e-08
1742692593.120143,82,2.4414061883248905e-08
1742692895.2489727,83,1.2207030941624453e-08
1742693197.8514419,84,1.2207030941624453e-08
1742693499.9090345,85,1.2207030941624453e-08
1742693801.9566686,86,1.2207030941624453e-08
1742694104.4301765,87,1.2207030941624453e-08
1742694406.432878,88,1.2207030941624453e-08
1742694709.1682882,89,1.2207030941624453e-08
1742695010.689798,90,1.2207030941624453e-08
1742695313.3766923,91,1.2207030941624453e-08
1742695615.6889114,92,1.2207030941624453e-08
1742695917.808412,93,1.2207030941624453e-08
1742696219.554623,94,1.2207030941624453e-08
1742696521.7394178,95,1.2207030941624453e-08
1742696824.1287374,96,1.2207030941624453e-08
1742697126.9022605,97,1.2207030941624453e-08
1742697429.6776576,98,1.2207030941624453e-08
1742697731.5323362,99,1.2207030941624453e-08
